Dataset,Split,Shape,Components,Duplicated sets,Set copies,Max set size difference,Max element size difference,Vacant cells,Sparsity (%),Total split time (s),Total layout time (s),Total arrange time (s),Bounding box width,Bounding box height,Bounding box (cells),Blank cells,Blank orthoconvex hull cells,Average set squareness,Average set vertices,Average set straight sides
Tulips,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,0.1785,1.2834,5,4,20,8,0,0.6222,6.0,3.0
Tulips,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,60.062,2.5516,4,3,12,0,0,0.537,4.4444,3.5556
Tulips,BlockSets,Orthoconvex,1,0,0,0,0,0,0.0,0.0,60.2828,2.06,3,5,15,3,0,0.5833,4.6667,3.3333
Tulips,BlockSets,Nabla,1,0,0,0,0,1,6.67,0.0,60.1936,0.4948,3,5,15,2,0,0.537,4.2222,3.7778
Tulips,BlockSets,Gamma,1,0,0,0,0,0,0.0,0.0,60.2263,0.3745,5,4,20,8,1,0.5426,4.4444,3.5556
DorianGray,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,0.7692,4.9373,4,4,16,4,0,0.7917,6.4,2.2
DorianGray,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,60.077,1.4265,4,3,12,0,0,0.6833,5.2,3.1
DorianGray,BlockSets,Orthoconvex,1,0,0,0,0,0,0.0,0.0,60.4096,0.8142,3,4,12,0,0,0.6917,5.6,2.6
DorianGray,BlockSets,Nabla,1,0,0,0,0,3,15.0,0.0,60.1838,0.8327,4,5,20,5,0,0.56,5.6,2.8
DorianGray,BlockSets,Gamma,1,0,0,0,0,7,28.0,0.0,60.3154,0.4692,5,5,25,6,0,0.5983,4.8,3.2
BankRobbery,BlockSets,Arbitrary_MSE,3,3,3,13,14,0,0.0,10.3477,119.8148,20.9114,5,8,40,11,0,0.6763,5.7895,2.6316
BankRobbery,BlockSets,Arbitrary_MSP,4,6,7,6,5,0,0.0,9.7007,132.8054,11.3268,6,6,36,7,0,0.7536,4.8696,3.3478
BankRobbery,BlockSets,Orthoconvex,3,3,3,13,14,2,4.76,4.8231,180.7283,9.0688,6,7,42,11,1,0.7439,5.4737,2.6842
BankRobbery,BlockSets,Nabla,4,6,7,6,5,0,0.0,9.3306,301.1141,2.5403,6,6,36,7,1,0.7101,4.6957,3.4348
BankRobbery,BlockSets,Gamma,4,6,7,6,5,1,2.38,9.7518,301.8882,2.4021,7,6,42,12,0,0.6123,4.3478,3.7391
MurderMystery,BlockSets,Arbitrary_MSE,2,4,4,3,1,0,0.0,13.5672,67.3416,19.8135,5,7,35,8,2,0.714,6.3158,2.4737
MurderMystery,BlockSets,Arbitrary_MSP,2,4,4,3,1,0,0.0,19.9056,140.7575,17.4542,6,6,36,9,1,0.7061,6.0,2.5789
MurderMystery,BlockSets,Orthoconvex,2,4,4,3,1,1,2.86,13.7289,180.7679,16.3921,7,5,35,7,1,0.6877,5.6842,2.5789
MurderMystery,BlockSets,Nabla,2,4,4,3,1,6,14.29,13.5524,180.5953,2.9559,7,6,42,9,0,0.6053,5.1579,2.9474
MurderMystery,BlockSets,Gamma,3,5,7,5,8,12,21.43,14.0831,260.8749,2.2785,8,7,56,17,1,0.6712,4.9091,3.2727
BankRobbery,RectEuler,Arbitrary_MSE,3,7,7,21,20,0,0.0,1.4168,83.6632,6.2249,6,7,42,13,0,0.8007,5.5652,2.7391
BankRobbery,RectEuler,Arbitrary_MSP,5,10,12,15,12,0,0.0,1.6181,180.9688,33.3613,5,6,30,1,0,0.756,4.2857,3.7143
BankRobbery,RectEuler,Orthoconvex,5,10,12,15,12,0,0.0,1.6784,242.9694,20.1998,6,5,30,1,1,0.7262,4.2857,3.7143
BankRobbery,RectEuler,Nabla,5,10,12,15,12,0,0.0,1.6541,196.5796,3.2748,6,7,42,13,1,0.7113,4.2857,3.75
BankRobbery,RectEuler,Gamma,6,11,15,11,6,0,0.0,2.7059,307.7456,3.76,6,6,36,7,0,0.7742,4.1935,3.8065
MurderMystery,RectEuler,Arbitrary_MSE,2,7,7,10,11,0,0.0,0.8016,73.1117,16.0328,7,6,42,15,0,0.7061,5.9091,2.8636
MurderMystery,RectEuler,Arbitrary_MSP,2,7,7,10,11,0,0.0,0.7799,120.7108,9.8301,6,6,36,9,0,0.6955,5.0909,3.1364
MurderMystery,RectEuler,Orthoconvex,3,11,15,3,3,0,0.0,1.6178,301.8291,5.8416,5,6,30,3,0,0.7472,4.3333,3.6667
MurderMystery,RectEuler,Nabla,3,11,15,3,3,0,0.0,1.6324,301.4479,2.6388,4,7,28,1,0,0.7694,4.4,3.6
MurderMystery,RectEuler,Gamma,3,11,15,3,3,2,5.71,1.961,302.0831,2.0262,5,7,35,6,1,0.7639,4.3333,3.6667
Tulips,BlockSets,Rectangle,1,0,0,0,0,5,25.0,0.0,4.706,0.5721,4,5,20,3,0,0.1111,4.0,4.0
DorianGray,BlockSets,Rectangle,1,0,0,0,0,11,44.0,0.0,4.2337,0.8069,5,5,25,2,0,0.0,4.0,4.0
BankRobbery,BlockSets,Rectangle,1,0,0,0,0,49,60.49,0.0,60.3437,1.7887,9,9,81,3,0,0.1875,4.0,4.0
MurderMystery,BlockSets,Rectangle,2,4,4,3,1,27,45.0,6.9384,74.9736,2.7038,10,6,60,6,0,0.2105,4.0,4.0
MurderMystery,RectEuler,Rectangle,2,7,7,10,11,19,33.93,1.2457,109.6427,3.7911,7,8,56,10,0,0.3182,4.0,4.0
Icarus,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,0.1224,0.6002,3,4,12,4,0,0.6852,6.2222,2.2222
Icarus,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,2.004,1.1525,3,3,9,1,0,0.7593,5.1111,2.8889
Icarus,BlockSets,Orthoconvex,1,0,0,0,0,0,0.0,0.0,51.963,1.2353,3,3,9,1,0,0.7593,5.1111,2.8889
Icarus,BlockSets,Nabla,1,0,0,0,0,2,16.67,0.0,60.1677,0.5698,3,4,12,2,0,0.7222,4.8889,3.1111
Icarus,BlockSets,Gamma,1,0,0,0,0,3,25.0,0.0,60.4266,0.2565,4,3,12,1,0,0.6296,4.6667,3.3333
Icarus,BlockSets,Rectangle,1,0,0,0,0,12,60.0,0.0,1.4405,1.2503,5,4,20,0,0,0.0,4.0,4.0
Physics,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,3.1888,4.0508,4,3,12,2,0,0.7045,6.5455,2.0909
Physics,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,48.6292,3.2978,3,4,12,2,0,0.6742,6.1818,2.3636
Physics,BlockSets,Orthoconvex,1,0,0,0,0,0,0.0,0.0,60.2082,1.3309,3,4,12,2,0,0.6742,6.1818,2.3636
Physics,BlockSets,Nabla,1,0,0,0,0,3,15.0,0.0,60.3195,0.6638,5,4,20,7,0,0.6379,6.1818,2.3636
Physics,BlockSets,Gamma,1,0,0,0,0,8,38.1,0.0,60.21,0.4175,7,3,21,3,0,0.5485,5.2727,3.0909
Physics,BlockSets,Rectangle,1,0,0,0,0,24,66.67,0.0,6.7595,1.7115,6,6,36,2,0,0.0,4.0,4.0
graphs,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,1.6016,5.7957,5,4,20,6,0,0.625,4.5,3.5
graphs,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,34.381,5.837,4,5,20,6,0,0.625,4.5,3.5
graphs,BlockSets,Orthoconvex,1,0,0,0,0,1,5.0,0.0,60.4501,4.1434,4,5,20,5,1,0.5556,4.3333,3.6667
graphs,BlockSets,Nabla,1,0,0,0,0,1,5.0,0.0,60.2332,0.8855,4,5,20,5,0,0.5556,4.3333,3.6667
